5	1
9	1
12	1
16	1
19	1
23	1
26	1
30	1
33	1
37	1
40	1
44	1
47	1
51	1
1	5
8	7
9	7
10	7
12	7
13	7
14	7
16	7
17	7
18	7
20	7
21	7
22	7
24	7
25	7
26	7
28	7
29	7
30	7
32	7
33	7
34	7
36	7
37	7
38	7
40	7
41	7
42	7
44	7
45	7
46	7
7	8
11	8
15	8
19	8
23	8
27	8
31	8
35	8
39	8
43	8
47	8
1	9
7	9
11	9
15	9
19	9
23	9
27	9
31	9
35	9
39	9
43	9
47	9
55	9
8	10
9	10
10	10
12	10
13	10
14	10
16	10
17	10
18	10
20	10
21	10
22	10
24	10
25	10
26	10
28	10
29	10
30	10
32	10
33	10
34	10
36	10
37	10
38	10
40	10
41	10
42	10
44	10
45	10
46	10
7	11
11	11
15	11
19	11
23	11
27	11
31	11
35	11
39	11
43	11
47	11
1	12
7	12
11	12
15	12
19	12
23	12
27	12
31	12
35	12
39	12
43	12
47	12
8	13
9	13
10	13
12	13
13	13
14	13
16	13
17	13
18	13
20	13
21	13
22	13
24	13
25	13
26	13
28	13
29	13
30	13
32	13
33	13
34	13
36	13
37	13
38	13
40	13
41	13
42	13
44	13
45	13
46	13
55	13
7	14
11	14
15	14
19	14
23	14
27	14
31	14
35	14
39	14
43	14
47	14
7	15
11	15
15	15
19	15
23	15
27	15
31	15
35	15
39	15
43	15
47	15
1	16
8	16
9	16
10	16
12	16
13	16
14	16
16	16
17	16
18	16
20	16
21	16
22	16
24	16
25	16
26	16
28	16
29	16
30	16
32	16
33	16
34	16
36	16
37	16
38	16
40	16
41	16
42	16
44	16
45	16
46	16
55	16
7	17
11	17
15	17
19	17
23	17
27	17
31	17
35	17
39	17
43	17
47	17
7	18
11	18
15	18
19	18
23	18
27	18
31	18
35	18
39	18
43	18
47	18
1	19
8	19
9	19
10	19
12	19
13	19
14	19
16	19
17	19
18	19
20	19
21	19
22	19
24	19
25	19
26	19
28	19
29	19
30	19
32	19
33	19
34	19
36	19
37	19
38	19
40	19
41	19
42	19
44	19
45	19
46	19
7	20
11	20
15	20
19	20
23	20
27	20
31	20
35	20
39	20
43	20
47	20
55	20
7	21
11	21
15	21
19	21
23	21
27	21
31	21
35	21
39	21
43	21
47	21
8	22
9	22
10	22
12	22
13	22
14	22
16	22
17	22
18	22
20	22
21	22
22	22
24	22
25	22
26	22
28	22
29	22
30	22
32	22
33	22
34	22
36	22
37	22
38	22
40	22
41	22
42	22
44	22
45	22
46	22
1	23
7	23
11	23
15	23
19	23
23	23
27	23
31	23
35	23
39	23
43	23
47	23
55	23
7	24
11	24
15	24
19	24
23	24
27	24
31	24
35	24
39	24
43	24
47	24
8	25
9	25
10	25
12	25
13	25
14	25
16	25
17	25
18	25
20	25
21	25
22	25
24	25
25	25
26	25
28	25
29	25
30	25
32	25
33	25
34	25
36	25
37	25
38	25
40	25
41	25
42	25
44	25
45	25
46	25
55	27
5	31
9	31
12	31
16	31
19	31
23	31
26	31
30	31
33	31
37	31
40	31
44	31
47	31
51	31
