55	4
52	26
7	25
50	13
42	4
41	4
25	25
7	26
3	18
12	22
48	6
22	26
17	22
29	4
48	13
19	22
26	30
53	18
19	31
52	23
17	4
45	19
19	16
7	8
5	17
34	3
4	22
1	10
9	16
15	19
48	27
24	6
4	24
5	11
43	10
11	10
18	3
38	4
18	19
26	29
48	8
26	27
43	20
24	32
19	28
2	24
37	30
5	32
53	27
6	5
39	29
19	1
5	22
43	12
20	10
45	10
14	16
45	29
17	16
18	26
52	19
49	15
51	8
35	29
35	12
12	32
22	5
52	0
45	4
42	28
38	16
14	26
15	22
30	29
51	10
16	25
45	22
49	4
3	22
47	11
31	27
30	16
46	27
40	31
26	3
11	5
48	29
34	19
10	29
29	10
47	21
4	2
18	27
46	1
15	26
5	6
14	25
43	8
11	8
30	22
7	22
18	29
1	23
2	17
20	25
27	27
39	11
3	10
43	9
22	13
41	16
15	23
10	31
10	4
20	3
53	23
12	3
30	2
15	6
7	14
24	31
48	17
34	7
15	10
6	29
41	27
49	5
30	0
7	4
37	31
31	3
27	22
44	10
12	4
7	7
39	0
3	26
51	23
9	27
28	16
44	26
47	29
5	14
4	6
38	3
52	21
28	22
51	6
31	10
11	27
35	14
31	30
53	4
26	31
19	25
25	31
32	25
9	31
7	15
25	16
5	16
54	21
48	21
19	12
8	10
4	27
2	5
14	29
44	30
6	23
21	29
27	24
3	19
4	23
9	22
47	30
29	28
25	0
8	7
46	26
27	9
50	5
22	22
39	18
44	5
7	17
39	26
43	22
23	19
34	25
24	1
7	21
39	2
29	22
35	18
36	13
12	29
0	19
7	9
56	20
50	28
50	22
27	16
41	25
15	9
39	4
3	28
45	1
17	6
40	5
45	3
3	8
0	16
53	5
23	3
23	30
44	13
31	2
50	26
18	16
50	6
54	7
36	29
35	6
40	3
36	16
0	4
37	26
53	10
16	5
54	28
27	23
27	5
26	2
50	15
24	22
30	27
32	27
32	1
8	22
12	2
49	27
19	30
14	19
12	27
13	3
26	13
43	6
47	2
32	28
4	9
6	22
54	27
10	2
25	3
50	12
5	1
32	26
53	6
20	16
45	2
23	0
37	19
34	16
10	10
51	28
38	22
37	28
54	9
54	20
23	15
37	27
42	22
54	22
42	16
37	3
0	10
29	19
11	28
19	15
10	1
15	15
52	20
48	25
30	5
28	19
46	6
40	6
56	15
0	9
23	6
4	15
38	26
50	3
6	4
41	6
39	7
28	28
23	20
45	7
52	11
32	3
52	7
11	9
53	8
23	31
38	27
4	13
42	7
46	19
17	0
31	0
3	12
8	25
11	7
6	3
23	21
13	10
2	11
53	19
44	29
31	18
51	7
49	23
28	4
32	5
38	31
33	31
54	14
19	17
6	6
25	29
5	12
13	26
35	7
30	30
49	9
38	30
31	5
35	16
43	3
1	5
49	13
49	20
14	28
49	14
24	29
51	15
11	3
15	25
29	6
21	13
0	11
6	24
26	7
45	25
50	24
54	23
27	15
15	8
40	2
39	12
4	21
40	26
51	26
46	22
17	7
31	12
39	21
11	14
50	18
40	1
12	13
48	23
47	17
20	28
52	22
35	28
39	20
51	24
41	3
42	6
26	16
6	15
37	16
7	27
30	7
9	7
23	26
11	23
52	10
48	5
8	3
49	22
49	12
30	26
16	16
53	24
44	32
8	4
47	20
4	17
16	3
55	9
43	28
55	27
15	24
44	1
22	28
31	4
22	27
44	16
12	5
25	19
31	23
56	22
16	13
24	28
13	6
11	15
44	28
21	27
23	7
48	22
3	27
3	11
17	30
36	25
38	13
53	28
12	28
12	16
23	27
41	13
17	26
47	12
40	28
50	21
35	15
4	1
4	30
27	10
1	27
48	16
23	17
17	19
15	21
45	32
37	6
25	13
3	14
11	11
22	16
53	7
55	23
49	3
47	0
9	0
51	20
43	13
47	28
18	25
19	3
32	29
4	4
24	2
28	6
43	26
11	13
6	14
18	31
36	5
26	1
44	2
13	28
20	5
2	19
43	14
33	4
11	18
56	9
